骊***事,新品 绿色牛油果排浊面膜,,0,2,"产品质感：包装完美，这是新包装，很漂亮
使用感受：用着很舒服
适合肤质：适合大众肤质，基本上都能用
补水效果：补水效果很好，用过后皮肤水嫩嫩的，很棒
贴合效果：大小合适贴合度很高值得拥有
其他特色：价位合适比实体店还便宜。还是正品保证值得拥有",2019-10-14 19:40:33
曹***馆,黄色经典面膜,,0,0,水分很足哦。味道很好闻。一直用这一款面膜，用出来以后水水的，皮肤也特别舒服，而且不过敏哦，趁着双11搞活动都买了几盒，价格特别实惠。这个价格特别的合适。店家发货也很快。我感觉任何皮肤都可以用的。冬天在暖气屋里皮肤干干的，天天做一片这个，感觉皮肤特别的舒服水润，很好很好。,2019-11-18 20:10:02
x***p,黄色经典面膜,,0,0,首先，经扫码查验结果显示是正品，用着放心。其次，我是使用过两次后来评价的，没有任何不舒服的感觉，面膜很服帖，很好敷，大小对我来说刚好好，对比春雨绿色和粉色款(有点小），黄色款纸张更合适。淡淡的蜂蜜味，不刺激，精华很多，比绿色和粉色都多，补水效果也可以。,2020-06-29 09:58:36
长***央,黄色经典面膜,,0,0,用过很多次了，刚开始不太适应，敷完脸有些红，以为过敏了，最后坚持用了几盒，没我再出现这个问题，问过说是脸太干了。春雨补水还是很不错的，价格也亲民，活动下来优惠不少，另一款茄子清洁面膜也非常好，用完都必须回购的，一盒10片，包装很好。,2020-07-12 16:05:02
宇***諍,黄色经典面膜,25ml,1,3,当天下单，当天下班前就收到了，包装完好整洁，先给京东自营的物流点个赞，包装里面还有个可爱的发带，很实用！我经常上网购物，化妆品也当然不例外，面膜买了一堆，的确网上有些进口化妆品价格高低不等，我还是相信对皮肤保养的投资不能图便宜，别问我为什么知道，都是眼泪，说说这个产品，收到货晚上就用了，我的脸还是比较敏感，所以都用比较温和的化妆品，春雨也是闺蜜给我推荐的，她是个孕妈，她用着感觉很温和很舒爽，说是专门给孕妇用的，所以我就又动心了，决定尝试一下，打开包装感觉沉甸甸的，这都是精华液重量，据说精华液里有很多的蜂蜜，的确有点甜滋滋的，不知道吃多了会不会上瘾呢，膜布质量很好，质感不错，敷在脸上很舒服，整个过程下来感觉还不错，整个脸清爽水润，皮肤喂饱饱的，我个人的一点体验，供大家参考！,2018-08-31 10:24:03
W***母,黄色经典面膜,,0,0,一直是春雨面膜牌子的粉丝，好用，主要是面膜特别薄，敷上去感觉非常舒服。味道蜂蜜味十足，每次搞活动必买，美白保湿效果真的太赞了，喜欢的美美可以加购哦！,2021-01-02 23:42:22
一梦祉轩,白色美白面膜,,0,8,"产品质感：摸起来滑滑嫩嫩，很舒服&hellip;&hellip;
使用感受：贴的过程中，没有紧绷感，，，，
适合肤质：我是油皮的，揭开面膜之后，没有油腻感，，，，
补水效果：贴完之后，摸自己的脸，很爽滑，即使不拍水，都不紧绷。。。。。。。
贴合效果：在贴的时候，非常贴合自己的脸，没有缝隙，不起大气泡，牢牢的贴紧肌肤。。。。。。。",2020-02-19 08:13:20
小***_,黄色经典面膜,,0,0,好用，感觉比蒂佳婷还好用，之前一直用蒂佳婷，最近尝试着用蜂蜜，感觉挺好用的，很补水，有蜂蜜的清香，喜欢，以后就用这个了。,2021-02-12 14:07:18
j***3,黄色经典面膜,,0,0,春雨的面膜一直都在用，很不错，很保湿补水呢，一直多次回购的一款面膜，今晚洗好澡又拿出来敷，真心水嫩嫩，特别轻薄，很不错的一款,2020-10-18 23:10:21
m***w,黑色清洁面膜,,0,0,"产品质感：新包装感觉很好，手感不错，面膜纸柔软舒适，很细腻
使用感受：面膜贴在脸上很服帖，舒适，敷完面膜脸上很清爽，不会觉得油腻，值得再次购买，
适合肤质：这种面膜应该适合任何肤质，各种肤质都适合。
补水效果：面膜精华刚刚好，补水效果也是棒棒哒！
贴合效果：面膜纸非常贴合！",2019-12-29 19:45:29
c***g,黑色清洁面膜,,0,0,这款春雨黑胶补水清洁面膜非常好用，补水效果好，贴合紧致，面膜大小合适，适合任何脸型，用过非常舒适，推荐购买。,2020-09-10 17:46:48
c***Q,新品 绿色牛油果排浊面膜,,0,0,"产品质感：面膜比較厚
适合肤质：所有
贴合效果：基本服帖
补水效果：良好
綠色春雨京東送了很多贈品的同時我自己也買了一盒，綠色牛油果面膜包裝很喜歡，喜歡綠色，味道清新，面膜的紙質比較厚，跟黃色春雨不同的是綠色面膜紙質沒有彈性，補水效果還不錯，京東的物流速度很快，售後也很好，贈品送的還沒用完，非常划算的活動，喜歡綠春雨的味道和綠色包裝",2019-12-10 11:58:21
x***p,黄色经典面膜,,0,0,春雨的这款面膜是目前用过最不错的一款，非常贴肤，可能与面膜纸比较薄有关，但是精华水很多，面膜纸张大小也比较适宜，味道是淡淡的蜂蜜味，甜甜的，很好闻，用了几次，也没有不舒服的感觉，补水效果不错，用完脸滑滑的，比较推荐,2020-04-18 11:29:42
g***4,新品 绿色牛油果排浊面膜,,0,4,用了两片了不会过敏没有刺激性，而且味道很好闻，淡淡的蜂蜜的甜甜的味道，围起来特别舒服，敷面膜的过程特别舒服不会干特别滋润，敷面膜完外面都滋润的，很是喜欢，用了后感觉整个皮肤都水润保湿的，过敏的肤质都可以用！,2020-03-16 08:59:36
只***白,黄色经典面膜,,0,0,"产品质感：这款面膜用了很多了，淡淡的蜂蜜的味道，用完皮肤挺光滑的，现在出了适合不同肤质需求的各种款式，仙女们可以根据自己皮肤需要选择合适的面膜，非常满意 肤质改善情况：吸收的很好 吸收效果：吸收效果很好，服帖，舒服舒服 我的肤质：混油，感觉补水效果不错，用完还会回购，面膜纸特别的薄、特别服帖、精华液也特别的多、敷脸上感觉没敷一样
保湿效果：秋冬必备神器",2020-11-26 20:12:14
j***p,黄色经典面膜,,0,5,快递包装的很好，没有损坏。收到晚上就用了一片，打开面膜就可以闻到一股淡淡的蜂蜜味道，闻着很舒服，面膜纸薄薄的很服帖，而且精华很足，用了以后皮肤摸着很光滑，手感非常好。本人是属于中性肤质。信赖京东的品质，大爱。,2020-02-27 13:33:57
